Wall time,Step,Value
1725012632.870128,0,0.5758405923843384
1725012663.865952,1,0.5859847664833069
1725012683.806404,2,0.6187050342559814
1725012702.559668,3,0.6704193353652954
1725012721.489871,4,0.6994972825050354
1725012741.77818,5,0.7074741721153259
1725012760.929301,6,0.7183709144592285
1725012779.404432,7,0.726137101650238
1725012799.868668,8,0.7409771084785461
1725012818.542776,9,0.7519640922546387
1725012836.976818,10,0.7602118849754333
1725012857.676323,11,0.7656903862953186
1725012875.788671,12,0.7718912959098816
1725012896.581869,13,0.7780620455741882
1725012914.898733,14,0.7814334034919739
1725012935.32763,15,0.784774661064148
1725012953.803832,16,0.7895306944847107
1725012974.306215,17,0.7953402996063232
1725012992.742926,18,0.7995545268058777
1725013013.365633,19,0.8034676909446716
1725013031.552108,20,0.80650794506073
1725013050.281656,21,0.8142138719558716
1725013068.640847,22,0.8191204071044922
1725013089.396976,23,0.8211974501609802
1725013109.499697,24,0.8242678046226501
1725013130.214364,25,0.8332982063293457
1725013150.634092,26,0.8335390090942383
1725013171.411238,27,0.8397098183631897
1725013189.79414,28,0.8447668552398682
1725013210.320038,29,0.8435326814651489
1725013230.632861,30,0.8516901731491089
1725013248.87926,31,0.8574395775794983
1725013269.88213,32,0.8626772165298462
1725013289.796145,33,0.8657174706459045
1725013310.65345,34,0.8640919923782349
1725013331.011876,35,0.8694801330566406
1725013351.63029,36,0.8766443133354187
1725013370.091179,37,0.8843502402305603
1725013388.250173,38,0.8845308423042297
1725013406.817906,39,0.8934409022331238
1725013425.152869,40,0.8997923135757446
1725013445.871819,41,0.898588240146637
1725013464.114881,42,0.9077391028404236
1725013484.631744,43,0.9107792973518372
1725013505.143769,44,0.9124348759651184
1725013523.773524,45,0.918455183506012
1725013544.139768,46,0.9187561869621277
1725013564.213729,47,0.9236928224563599
1725013582.563187,48,0.9285993576049805
1725013603.085463,49,0.9305559992790222
