Wall time,Step,Value
1725370254.824247,0,0.57826828956604
1725370337.486813,1,0.5314044952392578
1725370419.958291,2,0.5003109574317932
1725370502.69485,3,0.4805850684642792
1725370584.283934,4,0.46682482957839966
1725370663.113664,5,0.45638507604599
1725370741.831699,6,0.4478902220726013
1725370820.798553,7,0.44050362706184387
1725370899.594685,8,0.4337784945964813
1725370978.936835,9,0.42737147212028503
1725371057.796002,10,0.42108839750289917
1725371136.919249,11,0.4148646593093872
1725371215.961588,12,0.4089328348636627
1725371294.81587,13,0.4031410813331604
1725371373.886936,14,0.39746323227882385
1725371452.725894,15,0.3918357789516449
1725371531.812021,16,0.38623660802841187
1725371610.475233,17,0.3806212246417999
1725371689.507962,18,0.3750028908252716
1725371768.846633,19,0.36941856145858765
1725371847.672758,20,0.3636265695095062
1725371926.773883,21,0.35785114765167236
1725372005.484693,22,0.3517971634864807
1725372084.35942,23,0.34569641947746277
1725372163.317626,24,0.3392622172832489
1725372242.074219,25,0.3327347934246063
1725372320.807549,26,0.32595011591911316
1725372400.022218,27,0.31898102164268494
1725372479.339169,28,0.31197792291641235
1725372558.46372,29,0.30447980761528015
1725372637.383644,30,0.2968219816684723
1725372716.119366,31,0.2889963984489441
1725372795.693307,32,0.2807287573814392
1725372874.780252,33,0.2722100615501404
1725372953.595675,34,0.2634807229042053
1725373032.602781,35,0.25426214933395386
1725373112.040002,36,0.2448793649673462
1725373191.116967,37,0.23523664474487305
1725373269.515552,38,0.2255377620458603
1725373348.419225,39,0.21527378261089325
1725373426.970489,40,0.2050916999578476
1725373505.647851,41,0.19490967690944672
1725373584.455353,42,0.18457233905792236
1725373663.195792,43,0.17440356314182281
1725373741.916551,44,0.1645873785018921
1725373820.727634,45,0.1557711660861969
1725373899.72762,46,0.1483846753835678
1725373978.454414,47,0.1423760950565338
1725374057.399198,48,0.13740497827529907
1725374136.192447,49,0.13342058658599854
