Wall time,Step,Value
1725370254.827797,0,0.7134105563163757
1725370337.487271,1,0.7562349438667297
1725370419.958773,2,0.7784455418586731
1725370502.695377,3,0.78956538438797
1725370584.284328,4,0.7969979643821716
1725370663.114099,5,0.802253007888794
1725370741.83209,6,0.805533766746521
1725370820.798949,7,0.8085823059082031
1725370899.595071,8,0.812298595905304
1725370978.9372,9,0.8152019381523132
1725371057.796508,10,0.8183956146240234
1725371136.919612,11,0.8228377103805542
1725371215.962072,12,0.8257701396942139
1725371294.816409,13,0.8294863700866699
1725371373.887323,14,0.8319832682609558
1725371452.726295,15,0.8346253037452698
1725371531.812419,16,0.8377609252929688
1725371610.475682,17,0.8403739333152771
1725371689.508451,18,0.8435385823249817
1725371768.846999,19,0.8463838696479797
1725371847.673243,20,0.8503904938697815
1725371926.774328,21,0.8537583947181702
1725372005.485114,22,0.8578521013259888
1725372084.359873,23,0.860755443572998
1725372163.318041,24,0.8647910952568054
1725372242.07462,25,0.8683622479438782
1725372320.807944,26,0.8721075654029846
1725372400.022658,27,0.8757367134094238
1725372479.339558,28,0.8791916966438293
1725372558.464119,29,0.883488655090332
1725372637.384129,30,0.8874662518501282
1725372716.119783,31,0.8926632404327393
1725372795.693749,32,0.8972505331039429
1725372874.780667,33,0.901663601398468
1725372953.596082,34,0.9068025350570679
1725373032.603164,35,0.9119704961776733
1725373112.04059,36,0.9173997640609741
1725373191.117391,37,0.9221903085708618
1725373269.515932,38,0.9275614619255066
1725373348.419604,39,0.9323229789733887
1725373426.970865,40,0.9374909400939941
1725373505.64823,41,0.9427169561386108
1725373584.455766,42,0.9482913613319397
1725373663.196238,43,0.9521528482437134
1725373741.91696,44,0.9561304450035095
1725373820.728008,45,0.9598466753959656
1725373899.728021,46,0.9617629051208496
1725373978.454903,47,0.963940441608429
1725374057.399572,48,0.9652469158172607
1725374136.19298,49,0.9659147262573242
