Wall time,Step,Value
1725012632.869114,0,0.5752803087234497
1725012663.865178,1,0.5876418948173523
1725012683.805623,2,0.6268635392189026
1725012702.558632,3,0.6981563568115234
1725012721.489053,4,0.7380501627922058
1725012741.777382,5,0.749847412109375
1725012760.928278,6,0.7683669328689575
1725012779.403543,7,0.7821109890937805
1725012799.86772,8,0.8019968867301941
1725012818.541948,9,0.8160538077354431
1725012836.9757,10,0.8245503306388855
1725012857.675024,11,0.8314673900604248
1725012875.787865,12,0.8410084843635559
1725012896.580904,13,0.8496474027633667
1725012914.897953,14,0.8553895354270935
1725012935.326847,15,0.8598974943161011
1725012953.802905,16,0.866037130355835
1725012974.305354,17,0.8728768825531006
1725012992.741957,18,0.8783523440361023
1725013013.364545,19,0.8850142359733582
1725013031.551327,20,0.8882315158843994
1725013050.280838,21,0.8957967758178711
1725013068.639969,22,0.9007866978645325
1725013089.396064,23,0.9046090245246887
1725013109.498739,24,0.9071989059448242
1725013130.213435,25,0.9158103466033936
1725013150.6332,26,0.9165629744529724
1725013171.410246,27,0.9235297441482544
1725013189.793268,28,0.929008424282074
1725013210.319152,29,0.928353488445282
1725013230.632111,30,0.9346435070037842
1725013248.878518,31,0.9406196475028992
1725013269.881287,32,0.9431312084197998
1725013289.795389,33,0.9449291825294495
1725013310.652688,34,0.9454146027565002
1725013331.011053,35,0.9477660655975342
1725013351.629503,36,0.952158510684967
1725013370.090302,37,0.958562433719635
1725013388.24942,38,0.9580278396606445
1725013406.816883,39,0.964526355266571
1725013425.151829,40,0.9672526121139526
1725013445.870728,41,0.9686517715454102
1725013464.114135,42,0.9717537760734558
1725013484.630957,43,0.9742520451545715
1725013505.142944,44,0.9753747582435608
1725013523.772693,45,0.9776620268821716
1725013544.138958,46,0.9782642722129822
1725013564.212946,47,0.9802533388137817
1725013582.562284,48,0.9820993542671204
1725013603.084674,49,0.9836305379867554
