Wall time,Step,Value
1725021270.502662,0,0.6171397566795349
1725021279.514073,1,0.6366153955459595
1725021284.753765,2,0.644170880317688
1725021289.193231,3,0.6446825861930847
1725021294.285118,4,0.6573854088783264
1725021299.432389,5,0.6614189743995667
1725021309.264986,6,0.6663556098937988
1725021314.583053,7,0.6718642115592957
1725021319.843524,8,0.6749646067619324
1725021325.111565,9,0.6855001449584961
1725021329.738455,10,0.6906775832176208
1725021334.76801,11,0.698895275592804
1725021340.517153,12,0.6987748742103577
1725021345.001658,13,0.7131633758544922
1725021350.296215,14,0.708858847618103
1725021355.235534,15,0.7170464396476746
1725021359.694011,16,0.7157219648361206
1725021365.452117,17,0.7194545865058899
1725021375.206902,18,0.7226453423500061
1725021381.058557,19,0.726769208908081
1725021385.479229,20,0.7237289547920227
1725021389.951731,21,0.732006847858429
1725021395.903728,22,0.7304114699363708
1725021405.597736,23,0.7353782057762146
1725021410.63564,24,0.7344751954078674
1725021415.192435,25,0.7358598709106445
1725021420.903028,26,0.7404051423072815
1725021425.768968,27,0.7429938912391663
1725021430.557385,28,0.738839864730835
1725021436.559714,29,0.7429938912391663
1725021440.988166,30,0.7439571619033813
1725021446.061659,31,0.7481412291526794
1725021451.395835,32,0.749285101890564
1725021455.804625,33,0.7469371557235718
1725021461.21255,34,0.7496162056922913
1725021466.340402,35,0.7496764063835144
1725021470.76997,36,0.7512115836143494
1725021475.620399,37,0.754372239112854
1725021480.78519,38,0.7493152022361755
1725021485.466637,39,0.755486011505127
1725021490.454659,40,0.7519640922546387
1725021495.378055,41,0.7582252025604248
1725021499.812226,42,0.7568706274032593
1725021504.748202,43,0.7604828476905823
1725021509.467109,44,0.763161838054657
1725021513.852634,45,0.7606333494186401
1725021519.74878,46,0.7612955570220947
1725021524.407014,47,0.7619578242301941
1725021529.308978,48,0.7637338042259216
1725021534.597889,49,0.7687908411026001
