Wall time,Step,Value
1725021270.501627,0,0.6221204400062561
1725021279.513283,1,0.6348512172698975
1725021284.752976,2,0.6399321556091309
1725021289.192372,3,0.6520904302597046
1725021294.284024,4,0.6641913056373596
1725021299.431601,5,0.6751319169998169
1725021309.264049,6,0.684810996055603
1725021314.582257,7,0.6976579427719116
1725021319.842722,8,0.7049040794372559
1725021325.110517,9,0.7240394353866577
1725021329.737652,10,0.7288775444030762
1725021334.767041,11,0.7375779747962952
1725021340.516371,12,0.7414987087249756
1725021345.000783,13,0.757256031036377
1725021350.295296,14,0.7514857053756714
1725021355.234709,15,0.7613301277160645
1725021359.692951,16,0.7650572657585144
1725021365.450945,17,0.7657943964004517
1725021375.206076,18,0.7716658115386963
1725021381.057652,19,0.7745240926742554
1725021385.478368,20,0.7721414566040039
1725021389.950731,21,0.7781007885932922
1725021395.90269,22,0.7777786254882812
1725021405.596816,23,0.7840779423713684
1725021410.634843,24,0.7837094664573669
1725021415.191637,25,0.7862132787704468
1725021420.901851,26,0.7900159955024719
1725021425.768187,27,0.7935061454772949
1725021430.556283,28,0.7914320826530457
1725021436.559031,29,0.7939496040344238
1725021440.987327,30,0.7964433431625366
1725021446.06084,31,0.7990838885307312
1725021451.395064,32,0.8016158938407898
1725021455.80389,33,0.802003800868988
1725021461.211474,34,0.7994071245193481
1725021466.339541,35,0.803046703338623
1725021470.769196,36,0.8057976365089417
1725021475.61922,37,0.8076742887496948
1725021480.784391,38,0.804273784160614
1725021485.465856,39,0.8119434714317322
1725021490.453651,40,0.8089410066604614
1725021495.377252,41,0.8122110366821289
1725021499.811446,42,0.814821183681488
1725021504.747132,43,0.8161484003067017
1725021509.466356,44,0.8196008801460266
1725021513.851863,45,0.815834105014801
1725021519.747802,46,0.8192071914672852
1725021524.406203,47,0.8182321786880493
1725021529.308176,48,0.8214165568351746
1725021534.596826,49,0.822712242603302
