Wall time,Step,Value
1725370254.829078,0,0.7695701718330383
1725370337.488475,1,0.8089673519134521
1725370419.959958,2,0.8295973539352417
1725370502.696697,3,0.8401955366134644
1725370584.285478,4,0.8488824367523193
1725370663.115246,5,0.8555999398231506
1725370741.83316,6,0.8604360818862915
1725370820.800032,7,0.8647376894950867
1725370899.596137,8,0.8689546585083008
1725370978.938251,9,0.8738171458244324
1725371057.797858,10,0.8773925304412842
1725371136.92066,11,0.8808304071426392
1725371215.963292,12,0.8842265605926514
1725371294.817695,13,0.8877342343330383
1725371373.888404,14,0.8908924460411072
1725371452.727367,15,0.8938910961151123
1725371531.813485,16,0.8968874216079712
1725371610.476809,17,0.9000985026359558
1725371689.509557,18,0.9033530950546265
1725371768.848054,19,0.9067885875701904
1725371847.67433,20,0.9098800420761108
1725371926.775607,21,0.9128017425537109
1725372005.486415,22,0.9159852266311646
1725372084.360983,23,0.9189519882202148
1725372163.31913,24,0.9222763776779175
1725372242.0757,25,0.9255757927894592
1725372320.809034,26,0.9287961721420288
1725372400.023774,27,0.9319487810134888
1725372479.340626,28,0.9351113438606262
1725372558.465237,29,0.9384931325912476
1725372637.385317,30,0.9417454600334167
1725372716.120878,31,0.9449668526649475
1725372795.69488,32,0.9483384490013123
1725372874.781781,33,0.9515001773834229
1725372953.597177,34,0.9547865390777588
1725373032.60425,35,0.9580304026603699
1725373112.041884,36,0.9613529443740845
1725373191.118504,37,0.9644718170166016
1725373269.516988,38,0.9674620628356934
1725373348.420667,39,0.9703947901725769
1725373426.971926,40,0.9731996059417725
1725373505.649294,41,0.9756788015365601
1725373584.456933,42,0.978034496307373
1725373663.197404,43,0.9801602363586426
1725373741.918024,44,0.9821661710739136
1725373820.72907,45,0.9837831854820251
1725373899.729099,46,0.985116720199585
1725373978.456049,47,0.9861742258071899
1725374057.400646,48,0.9871771335601807
1725374136.194278,49,0.9878721237182617
